Stage;Name;lat;long
1;Modular;52.401405;4.89363
2;Generator;52.401405;4.89363
3;Skyline;52.401725;4.896774
4;Food Court;52.400573;4.89407
5;Kornuit;52.40056;4.896613
6;Art;52.400351;4.894864
7;Live;52.399834;4.893748
8;AMP;52.399075;4.89393
