artist;start_lat;start_lon;end_lat;end_lon;from;to;mode;modecolor;id;stroke
Honey Dijon;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;46;2
Dax J;48.52513;2.21192;52.37918;4.89943;Paris Gare de Nord;Amsterdam Central Station;Railway;#33FF66;47;2
Rebolledo;41.297445;2.08329;52.30768;4.76742;Barcelona - el Prat (BCN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;48;2
Pachanga Boys;41.297445;2.08329;52.30768;4.76742;Barcelona - el Prat (BCN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;49;2
GusGus;19.43611;-99.07194;52.30768;4.76742;Mexico City (MEX);Amsterdam Schiphol (AMS);Flight;#3BC4D8;50;3
The Black Madonna;51.470020;-0.45429;52.30768;4.76742;Heathrow Airport (LHR);Amsterdam Schiphol (AMS);Flight;#3BC4D8;51;2
Motor City Drum Ensemble;50.83851;4.34173;52.37918;4.89943;Brussel (MIDI);Amsterdam Central Station;Railway;#33FF66;52;2
Pachanga Boys;48.52513;2.21192;52.37918;4.89943;Bahnhof Paris - Nord;Amsterdam Central Station;Railway;#33FF66;53;2
Laurent Garnier;55.95078;-3.36145;52.30768;4.76742;Edinburgh Airport (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;54;2
Marcel Dettmann;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;55;2
Len Faki;55.95078;-3.36145;52.30768;4.76742;Edinburgh (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;56;2
Dixon;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;57;2
Max Cooper;41.1366;16.7564;52.30768;4.76742;Bari (BRI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;58;2
Oliver Koletzki;50.03333;8.570556;52.30768;4.76742;Frankfurt Airport (FRA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;59;2
DJ Koze;47.15222;11.20228;52.30768;4.76742;Innsbruck (INN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;60;2
Mano le Tough;47.27318;8.32342;52.30768;4.76742;Luchthaven Zürich (ZRH);Amsterdam Schiphol (AMS);Flight;#3BC4D8;61;2
DJ Koze;53.37294;9.59168;52.30768;4.76742;Hamburg (HAM);Amsterdam Schiphol (AMS);Flight;#3BC4D8;62;2
Rødhåd;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;63;2
ANNA;46.2111;6.1028;52.30768;4.76742;Geneve (GVA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;64;2
Mella Dee;55.95078;-3.36145;52.30768;4.76742;Edinburgh (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;65;2
Redshape [live];53.35233;-2.27166;52.30768;4.76742;Manchester Airport (MAN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;66;2
Optimo;55.86510;-4.43317;52.30768;4.76742;Glasgow (GLA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;67;2
